date,value
2014-06-13,98.350882
2014-06-16,98.384118
2014-06-17,98.478824
2014-06-18,98.347059
2014-06-19,98.233971
2014-06-20,98.218529
2014-06-23,98.458824
2014-06-24,98.551471
2014-06-25,98.497647
2014-06-26,98.619412
2014-06-27,98.615
2014-06-30,98.652353
2014-07-02,98.6225
2014-07-03,98.545147
2014-07-04,98.545588
2014-07-07,98.639412
2014-07-08,98.698824
2014-07-09,98.72
2014-07-10,98.619706
2014-07-11,98.625
2014-07-14,98.668824
2014-07-15,98.683971
2014-07-16,98.6825
2014-07-17,98.656765
2014-07-18,98.700294
2014-07-21,98.728235
2014-07-22,98.684412
2014-07-23,98.672353
2014-07-24,98.613529
2014-07-25,98.640882
2014-07-28,98.684559
2014-08-04,98.685147
2014-08-05,98.7125
2014-08-06,98.7125
2014-08-07,98.706029
2014-08-08,98.721029
2014-08-11,98.783971
2014-08-12,98.9475
2014-08-13,99.276324
2014-08-15,99.645735
2014-08-18,99.763382
2014-08-19,99.881177
2014-08-20,100.472206
2014-08-21,100.927206
2014-08-22,101.054265
2014-08-25,101.927794
2014-08-26,102.388382
2014-08-27,101.221029
2014-08-28,101.996912
2014-08-29,101.881715
2014-09-01,101.9425
2014-09-02,102.284559
2014-09-03,102.382794
2014-09-04,102.116618
2014-09-05,101.945441
2014-09-08,101.9625
2014-09-09,101.953677
2014-09-10,101.910441
2014-09-11,101.959265
2014-09-12,102.1635
2014-09-15,102.458235
2014-09-16,102.593824
2014-09-17,102.562647
2014-09-18,102.542206
2014-09-19,102.574559
2014-09-22,102.648382
2014-09-23,102.577794
2014-09-24,102.590735
2014-09-25,102.621324
2014-09-26,102.641118
2014-09-29,102.607794
2014-09-30,102.494971
2014-10-01,102.502576
2014-10-02,102.465606
2014-10-03,102.445909
2014-10-09,102.585909
2014-10-10,102.660455
2014-10-13,102.679546
2014-10-14,102.715303
2014-10-15,102.780152
2014-10-16,102.760152
2014-10-17,102.732879
2014-10-20,102.77197
2014-10-21,102.754394
2014-10-22,102.785
2014-10-23,102.786515
2014-10-24,102.828636
2014-10-27,102.858333
2014-10-28,102.98803
2014-10-29,103.159546
2014-10-30,103.006364
2014-10-31,102.806667
2014-11-05,102.752727
2014-11-06,102.696364
2014-11-07,102.292121
2014-11-10,101.862576
2014-11-11,101.514546
2014-11-12,101.589091
2014-11-13,101.669697
2014-11-14,101.572606
2014-11-17,101.770909
2014-11-18,101.69
2014-11-19,101.592121
2014-11-20,101.478485
2014-11-21,101.531818
2014-11-24,101.565758
2014-11-25,101.59
2014-11-26,101.689697
2014-11-27,101.640909
2014-11-28,101.674242
2014-12-01,101.802273
2014-12-02,101.759546
2014-12-03,101.596061
2014-12-04,101.615758
2014-12-05,101.396667
2014-12-08,101.219546
2014-12-09,101.055152
2014-12-10,100.812727
2014-12-11,100.672121
2014-12-12,100.547273
2014-12-15,100.312879
2014-12-16,100.326364
2014-12-17,100.436212
2014-12-18,100.311515
2014-12-19,100.394242
2014-12-22,100.469849
2014-12-23,100.411515
2014-12-24,100.446061
2014-12-26,100.535758
2014-12-29,100.670152
2014-12-30,100.896061
2014-12-31,100.42697
2015-01-02,100.517121
2015-01-05,100.679697
2015-01-06,100.764546
2015-01-07,100.707576
2015-01-08,100.644849
2015-01-09,100.666667
2015-01-12,100.643182
2015-01-13,100.532727
2015-01-14,100.503939
2015-01-15,100.585455
2015-01-16,100.672121
2015-01-19,100.599849
2015-01-20,100.64303
2015-01-21,100.603636
2015-01-22,100.617121
2015-01-23,100.65
2015-01-26,100.88303
2015-01-27,100.83697
2015-01-28,100.781364
2015-01-29,100.817576
2015-01-30,101.00197
2015-02-02,101.022424
2015-02-03,101.208788
2015-02-04,101.055758
2015-02-06,101.07697
2015-02-09,101.113636
2015-02-10,101.150606
2015-02-11,101.256818
2015-02-12,101.273636
2015-02-13,101.319091
2015-02-16,101.293636
2015-02-17,101.344849
2015-02-18,101.408182
2015-02-19,101.443939
2015-02-20,101.556667
2015-02-23,101.579091
2015-02-24,101.61003
2015-02-25,101.735909
2015-02-26,101.750303
2015-02-27,101.737061
2015-03-02,101.765455
2015-03-03,101.769849
2015-03-04,101.778182
2015-03-05,101.749394
2015-03-06,101.721667
2015-03-09,101.694242
2015-03-10,101.587576
2015-03-11,101.673485
2015-03-12,101.649394
2015-03-13,101.650303
2015-03-16,101.646061
2015-03-17,101.626515
2015-03-18,101.661
2015-03-19,101.772121
2015-03-20,101.991667
2015-03-24,101.968788
2015-03-25,101.863939
2015-03-26,101.887879
2015-03-27,101.859394
2015-03-30,101.814546
2015-03-31,101.823333
2015-04-01,101.858485
2015-04-02,101.837121
2015-04-03,101.804242
2015-04-06,101.814849
2015-04-07,101.870909
2015-04-08,101.863636
2015-04-09,101.860606
2015-04-10,101.831515
2015-04-13,101.794091
2015-04-14,101.782424
2015-04-15,101.631515
2015-04-16,101.607576
2015-04-17,101.502727
2015-04-20,101.540303
2015-04-21,101.475909
2015-04-22,101.512121
2015-04-23,101.502121
2015-04-24,101.564091
2015-04-27,101.592576
2015-04-28,101.776364
2015-04-29,101.702727
2015-04-30,101.683636
2015-05-04,101.677121
2015-05-05,101.700606
2015-05-06,101.702879
2015-05-07,101.687727
2015-05-08,101.693788
2015-05-11,101.719697
2015-05-12,101.734242
2015-05-13,101.74303
2015-05-14,101.751818
2015-05-15,101.794091
2015-05-18,101.874697
2015-05-19,101.850606
2015-05-20,101.835303
2015-05-21,101.864697
