Country,Indicator,Date,Close,Source,Frequency
akistan,Exchange Rate,11/9/2022,221,Trading Economics,Daily
akistan,Exchange Rate,11/8/2022,221.1,Trading Economics,Daily
akistan,Exchange Rate,11/7/2022,221,Trading Economics,Daily
akistan,Exchange Rate,11/4/2022,221,Trading Economics,Daily
akistan,Exchange Rate,11/3/2022,221.46,Trading Economics,Daily
akistan,Exchange Rate,11/2/2022,221,Trading Economics,Daily
akistan,Exchange Rate,11/1/2022,220.1,Trading Economics,Daily
akistan,Exchange Rate,10/31/2022,220,Trading Economics,Daily
akistan,Exchange Rate,10/28/2022,221,Trading Economics,Daily
akistan,Exchange Rate,10/27/2022,221,Trading Economics,Daily
akistan,Exchange Rate,10/26/2022,219,Trading Economics,Daily
akistan,Exchange Rate,10/25/2022,220.5,Trading Economics,Daily
akistan,Exchange Rate,10/24/2022,220.5,Trading Economics,Daily
akistan,Exchange Rate,10/21/2022,220.7,Trading Economics,Daily
akistan,Exchange Rate,10/20/2022,220.75,Trading Economics,Daily
akistan,Exchange Rate,10/19/2022,220.5,Trading Economics,Daily
akistan,Exchange Rate,10/18/2022,219.4,Trading Economics,Daily
akistan,Exchange Rate,10/17/2022,219.5,Trading Economics,Daily
akistan,Exchange Rate,10/14/2022,219,Trading Economics,Daily
akistan,Exchange Rate,10/13/2022,218.75,Trading Economics,Daily
akistan,Exchange Rate,10/12/2022,217.5,Trading Economics,Daily
akistan,Exchange Rate,10/11/2022,216.8,Trading Economics,Daily
akistan,Exchange Rate,10/10/2022,217.4,Trading Economics,Daily
akistan,Exchange Rate,10/7/2022,221.4,Trading Economics,Daily
akistan,Exchange Rate,10/6/2022,221.4,Trading Economics,Daily
akistan,Exchange Rate,10/5/2022,222.75,Trading Economics,Daily
akistan,Exchange Rate,10/4/2022,229,Trading Economics,Daily
akistan,Exchange Rate,10/3/2022,229,Trading Economics,Daily
akistan,Exchange Rate,9/30/2022,227.65,Trading Economics,Daily
akistan,Exchange Rate,9/29/2022,229,Trading Economics,Daily
akistan,Exchange Rate,9/28/2022,231.5,Trading Economics,Daily
akistan,Exchange Rate,9/27/2022,236.4,Trading Economics,Daily
akistan,Exchange Rate,9/26/2022,239,Trading Economics,Daily
akistan,Exchange Rate,9/23/2022,239.4,Trading Economics,Daily
akistan,Exchange Rate,9/22/2022,239,Trading Economics,Daily
akistan,Exchange Rate,9/21/2022,237.8,Trading Economics,Daily
akistan,Exchange Rate,9/20/2022,238.5,Trading Economics,Daily
akistan,Exchange Rate,9/19/2022,239.5,Trading Economics,Daily
akistan,Exchange Rate,9/18/2022,238.25,Trading Economics,Daily
akistan,Exchange Rate,9/16/2022,238.25,Trading Economics,Daily
akistan,Exchange Rate,9/15/2022,235.7,Trading Economics,Daily
akistan,Exchange Rate,9/14/2022,233.75,Trading Economics,Daily
akistan,Exchange Rate,9/13/2022,233.6,Trading Economics,Daily
akistan,Exchange Rate,9/12/2022,231,Trading Economics,Daily
akistan,Exchange Rate,9/9/2022,229.75,Trading Economics,Daily
akistan,Exchange Rate,9/8/2022,223,Trading Economics,Daily
akistan,Exchange Rate,9/7/2022,224.25,Trading Economics,Daily
akistan,Exchange Rate,9/6/2022,222,Trading Economics,Daily
akistan,Exchange Rate,9/5/2022,219.28,Trading Economics,Daily
akistan,Exchange Rate,9/2/2022,218.8,Trading Economics,Daily
akistan,Exchange Rate,9/1/2022,217.7,Trading Economics,Daily
akistan,Exchange Rate,8/31/2022,218.25,Trading Economics,Daily
akistan,Exchange Rate,8/30/2022,219.7,Trading Economics,Daily
akistan,Exchange Rate,8/29/2022,222.5,Trading Economics,Daily
akistan,Exchange Rate,8/26/2022,220.3,Trading Economics,Daily
akistan,Exchange Rate,8/25/2022,216.1,Trading Economics,Daily
akistan,Exchange Rate,8/24/2022,219,Trading Economics,Daily
akistan,Exchange Rate,8/23/2022,216.8,Trading Economics,Daily
akistan,Exchange Rate,8/22/2022,216.3,Trading Economics,Daily
akistan,Exchange Rate,8/19/2022,214.5,Trading Economics,Daily
akistan,Exchange Rate,8/18/2022,214.65,Trading Economics,Daily
akistan,Exchange Rate,8/17/2022,214,Trading Economics,Daily
akistan,Exchange Rate,8/16/2022,213.4,Trading Economics,Daily
akistan,Exchange Rate,8/15/2022,213.59,Trading Economics,Daily
akistan,Exchange Rate,8/12/2022,219.3,Trading Economics,Daily
akistan,Exchange Rate,8/11/2022,219.3,Trading Economics,Daily
akistan,Exchange Rate,8/10/2022,224.15,Trading Economics,Daily
akistan,Exchange Rate,8/9/2022,224.15,Trading Economics,Daily
akistan,Exchange Rate,8/8/2022,224.05,Trading Economics,Daily
akistan,Exchange Rate,8/5/2022,223.88,Trading Economics,Daily
akistan,Exchange Rate,8/4/2022,225.4,Trading Economics,Daily
akistan,Exchange Rate,8/3/2022,228.25,Trading Economics,Daily
akistan,Exchange Rate,8/2/2022,238.25,Trading Economics,Daily
akistan,Exchange Rate,8/1/2022,239.2,Trading Economics,Daily
akistan,Exchange Rate,7/29/2022,239.66,Trading Economics,Daily
akistan,Exchange Rate,7/28/2022,239.7,Trading Economics,Daily
akistan,Exchange Rate,7/27/2022,235.25,Trading Economics,Daily
akistan,Exchange Rate,7/26/2022,232.29,Trading Economics,Daily
akistan,Exchange Rate,7/25/2022,229.75,Trading Economics,Daily
akistan,Exchange Rate,7/22/2022,228,Trading Economics,Daily
akistan,Exchange Rate,7/21/2022,227,Trading Economics,Daily
akistan,Exchange Rate,7/20/2022,224.75,Trading Economics,Daily
akistan,Exchange Rate,7/19/2022,221.5,Trading Economics,Daily
akistan,Exchange Rate,7/18/2022,215.5,Trading Economics,Daily
akistan,Exchange Rate,7/15/2022,210.7,Trading Economics,Daily
akistan,Exchange Rate,7/14/2022,209.4,Trading Economics,Daily
akistan,Exchange Rate,7/13/2022,209.99,Trading Economics,Daily
akistan,Exchange Rate,7/11/2022,206.86,Trading Economics,Daily
akistan,Exchange Rate,7/8/2022,207.06,Trading Economics,Daily
akistan,Exchange Rate,7/7/2022,207.09,Trading Economics,Daily
akistan,Exchange Rate,7/6/2022,207.29,Trading Economics,Daily
akistan,Exchange Rate,7/5/2022,206.5,Trading Economics,Daily
akistan,Exchange Rate,7/4/2022,204.5,Trading Economics,Daily
akistan,Exchange Rate,6/30/2022,204.5,Trading Economics,Daily
akistan,Exchange Rate,6/29/2022,204.65,Trading Economics,Daily
akistan,Exchange Rate,6/28/2022,206.54,Trading Economics,Daily
akistan,Exchange Rate,6/27/2022,206.75,Trading Economics,Daily
akistan,Exchange Rate,6/24/2022,208,Trading Economics,Daily
akistan,Exchange Rate,6/23/2022,208.4,Trading Economics,Daily
akistan,Exchange Rate,6/22/2022,211.25,Trading Economics,Daily
akistan,Exchange Rate,6/21/2022,211.5,Trading Economics,Daily
akistan,Exchange Rate,6/20/2022,209.38,Trading Economics,Daily
akistan,Exchange Rate,6/17/2022,208.5,Trading Economics,Daily
akistan,Exchange Rate,6/16/2022,208.25,Trading Economics,Daily
akistan,Exchange Rate,6/15/2022,206.5,Trading Economics,Daily
akistan,Exchange Rate,6/14/2022,205.75,Trading Economics,Daily
akistan,Exchange Rate,6/13/2022,203.5,Trading Economics,Daily
akistan,Exchange Rate,6/10/2022,201.6,Trading Economics,Daily
akistan,Exchange Rate,6/9/2022,201.5,Trading Economics,Daily
akistan,Exchange Rate,6/8/2022,200,Trading Economics,Daily
akistan,Exchange Rate,6/7/2022,202.25,Trading Economics,Daily
akistan,Exchange Rate,6/6/2022,199.8,Trading Economics,Daily
akistan,Exchange Rate,6/3/2022,197.4,Trading Economics,Daily
akistan,Exchange Rate,6/2/2022,197.2,Trading Economics,Daily
akistan,Exchange Rate,6/1/2022,197.5,Trading Economics,Daily
akistan,Exchange Rate,5/31/2022,198.7,Trading Economics,Daily
akistan,Exchange Rate,5/30/2022,198.6,Trading Economics,Daily
akistan,Exchange Rate,5/27/2022,199.75,Trading Economics,Daily
akistan,Exchange Rate,5/26/2022,202.25,Trading Economics,Daily
akistan,Exchange Rate,5/25/2022,202,Trading Economics,Daily
akistan,Exchange Rate,5/24/2022,200.1,Trading Economics,Daily
akistan,Exchange Rate,5/23/2022,200.4,Trading Economics,Daily
akistan,Exchange Rate,5/20/2022,200.1,Trading Economics,Daily
akistan,Exchange Rate,5/19/2022,199.7,Trading Economics,Daily
akistan,Exchange Rate,5/18/2022,197.5,Trading Economics,Daily
akistan,Exchange Rate,5/17/2022,196.5,Trading Economics,Daily
akistan,Exchange Rate,5/16/2022,193.3,Trading Economics,Daily
akistan,Exchange Rate,5/13/2022,192.75,Trading Economics,Daily
akistan,Exchange Rate,5/12/2022,191.9,Trading Economics,Daily
akistan,Exchange Rate,5/11/2022,190.5,Trading Economics,Daily
akistan,Exchange Rate,5/10/2022,188.95,Trading Economics,Daily
akistan,Exchange Rate,5/9/2022,187.6,Trading Economics,Daily
akistan,Exchange Rate,5/6/2022,186.03,Trading Economics,Daily
akistan,Exchange Rate,5/5/2022,185.4,Trading Economics,Daily
akistan,Exchange Rate,5/4/2022,185.22,Trading Economics,Daily
akistan,Exchange Rate,5/3/2022,185.4,Trading Economics,Daily
akistan,Exchange Rate,5/2/2022,185.4,Trading Economics,Daily
akistan,Exchange Rate,4/30/2022,185.4,Trading Economics,Daily
akistan,Exchange Rate,4/29/2022,185.4,Trading Economics,Daily
akistan,Exchange Rate,4/28/2022,185.29,Trading Economics,Daily
akistan,Exchange Rate,4/27/2022,185.32,Trading Economics,Daily
akistan,Exchange Rate,4/26/2022,185.95,Trading Economics,Daily
akistan,Exchange Rate,4/25/2022,185.7,Trading Economics,Daily
akistan,Exchange Rate,4/22/2022,187.21,Trading Economics,Daily
akistan,Exchange Rate,4/21/2022,186.65,Trading Economics,Daily
akistan,Exchange Rate,4/20/2022,185.6,Trading Economics,Daily
akistan,Exchange Rate,4/19/2022,183,Trading Economics,Daily
akistan,Exchange Rate,4/18/2022,181.89,Trading Economics,Daily
akistan,Exchange Rate,4/16/2022,181,Trading Economics,Daily
akistan,Exchange Rate,4/15/2022,181.5,Trading Economics,Daily
